trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.98}",25,0,-96.98535683446478,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.25, 'e': 0.96}",30,0,-105.26254010685987,"{0: 19, 1: 1, 2: 7, 3: 3, 4: 0}",0
3,False,"{'a': 0.25, 'e': 0.94}",25,0,-222.9946676029809,"{0: 13, 1: 1, 2: 4, 3: 4, 4: 3}",0
4,False,"{'a': 0.25, 'e': 0.9199999999999999}",20,0,-37.303776081501915,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.25, 'e': 0.8999999999999999}",25,0,-55.427220943703084,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.8799999999999999}",20,0,-40.632333699007866,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.25, 'e': 0.8599999999999999}",25,0,-132.5305553317105,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.25, 'e': 0.8399999999999999}",20,0,-86.88739516817373,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.25, 'e': 0.8199999999999998}",30,0,-164.74345960875158,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.25, 'e': 0.7999999999999998}",25,0,-126.16140656996375,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.25, 'e': 0.7799999999999998}",35,0,-159.57637951968522,"{0: 19, 1: 2, 2: 11, 3: 3, 4: 0}",0
12,False,"{'a': 0.25, 'e': 0.7599999999999998}",30,0,-249.59667371792716,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
13,False,"{'a': 0.25, 'e': 0.7399999999999998}",20,10,11.84363441226503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.25, 'e': 0.7199999999999998}",20,0,-41.39347867052285,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.25, 'e': 0.6999999999999997}",20,0,-16.687951830356564,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.25, 'e': 0.6799999999999997}",20,0,-60.27212867861195,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.25, 'e': 0.6599999999999997}",25,0,-142.63216478344225,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 2}",0
18,False,"{'a': 0.25, 'e': 0.6399999999999997}",20,0,-7.875302540572435,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.25, 'e': 0.6199999999999997}",20,0,-23.5961645859589,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.25, 'e': 0.5999999999999996}",20,8,-75.05993356413094,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
21,False,"{'a': 0.25, 'e': 0.5799999999999996}",20,0,-31.045899122974184,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.25, 'e': 0.5599999999999996}",25,0,-99.58077593428712,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.25, 'e': 0.5399999999999996}",20,11,11.611176031569594,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.25, 'e': 0.5199999999999996}",25,0,1.7328104986729702,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.25, 'e': 0.49999999999999956}",20,0,16.280637130273035,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.25, 'e': 0.47999999999999954}",30,11,-12.193243642867067,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
27,False,"{'a': 0.25, 'e': 0.4599999999999995}",20,0,-2.4746748268354515,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
